country,pop,urb,gdp,dist,hf,pf,ef,date_first,detection,status,cumul,air,datetime,cases,Cumulative_number_for_14_days_of_COVID-19_cases_per_100000,china_start,start_date,corona_converge_days
Belgium,11422068,98.001,51407.9983373414,7548353.77292663,8.29,9.06769485133166,7.51,36,62.5,1,20605,13639.49,2020-04-12,1023,182.62812885,2019-12-30,2020-02-04,68
Belize,383071,45.724,8648.08879957291,13910731.5745554,6.95,7.11836383560218,6.78,85,30.4,1,376057,1297.53,2020-04-17,0,3.84269542,2019-12-30,2020-03-24,24
Benin,11485048,47.312,2424.75584480555,10389512.3561201,6.77,7.46938687734047,6.08,78,24.2,1,179092,0.9,2020-06-28,71,6.0333098,2019-12-30,2020-03-17,103
Bhutan,754394,40.895,10167.934056686,1621387.57907881,6.53,6.28627999701272,6.77,67,42.8,1,97277,275.85,2020-06-11,3,4.45554545,2019-12-30,2020-03-06,97
Bolivia,11353142,69.425,7873.16624301,17534517.0358156,6.61,7.07482557028916,6.14,73,33.1,1,124464,4122.11,2020-07-12,1635,143.52343964,2019-12-30,2020-03-12,122
Bosnia and Herzegovina,3323929,48.245,14623.6740532923,7016980.54945873,7.37,8.04034814110701,6.69,67,41.7,1,97277,7.07,2020-07-11,316,74.76526796,2019-12-30,2020-03-06,127
Botswana,2254126,69.446,18615.7933362283,10611680.0071401,7.17,6.97008445279206,7.37,93,28.2,1,847716,253.42,2020-07-10,0,9.76688401,2019-12-30,2020-04-01,100
Brazil,209469333,86.569,16096.4009621464,16335605.8343072,6.48,6.73992327083246,6.23,58,82.4,1,80272,102109.98,2020-07-10,42619,250.01952267,2019-12-30,2020-02-26,135
Brunei,428962,77.629,80920.0486841005,3719565.9810648,5.69,4.76090202805466,6.62,71,30.5,1,113067,1234.45,2020-03-25,13,23.77127876,2019-12-30,2020-03-10,15
Bulgaria,7024216,75.008,21960.3699424605,6532153.60315717,7.79,8.03554146168823,7.54,69,53.3,1,104776,1022.64,2020-07-10,330,32.34267695,2019-12-30,2020-03-08,124
Burkina Faso,19751535,29.358,1984.8843059546,10558297.7901032,6.73,7.38656321999061,6.07,72,33.3,1,117624,151.53,2020-04-13,13,1.5599332000000001,2019-12-30,2020-03-11,33
Burundi,11175378,13.032,744.182072008071,8810121.61734272,5.56,4.9539520520572,6.17,93,11.4,1,847716,12.0,2020-07-12,24,0.91929485,2019-12-30,2020-04-01,102
